1,0.001,1.39,0.08152,341,3,599.7
2,0.001,1.48,0.07002,341,7,647.45
3,0.001,1.54,0.063905,494,10,861.66
4,0.007,1.55,0.061134,452,11,696.29
5,0.01,1.56,0.06641,239,12,402.71
6,0.3,1.42,0.077561,299,14,327.29
7,0.3,1.43,0.075939,312,18,311.2
