HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = Inf
 HL = 0.200 | t1//t0 = 70.000 | l1//l0 = 0.003 | alpha = 1.43 | Tmax = 0.234927
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.10 | Tmax = 0.463494
 HL = 1.000 | t1//t0 = 40.000 | l1//l0 = 0.020 | alpha = 1.34 | Tmax = 0.142442
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.01 | Tmax = 0.126711
 HL = 1.000 | t1//t0 = 130.000 | l1//l0 = 0.030 | alpha = 1.41 | Tmax = 0.189975
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.010 | alpha = 1.20 | Tmax = 0.154066
 HL = 1.000 | t1//t0 = 190.000 | l1//l0 = 0.300 | alpha = 1.24 | Tmax = 0.106872
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.12 | Tmax = 0.150665
 HL = 0.500 | t1//t0 = 30.000 | l1//l0 = 0.010 | alpha = 1.28 | Tmax = 0.134876
 HL = 1.000 | t1//t0 = 40.000 | l1//l0 = 0.500 | alpha = 1.34 | Tmax = 0.106020
 HL = 0.500 | t1//t0 = 220.000 | l1//l0 = 0.030 | alpha = 1.41 | Tmax = 0.128396
 HL = 2.000 | t1//t0 = 60.000 | l1//l0 = 0.030 | alpha = 1.52 | Tmax = 0.059082
 HL = 15.000 | t1//t0 = 11.000 | l1//l0 = 0.003 | alpha = 1.51 | Tmax = 3.082721
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.41 | Tmax = 1.515881
 HL = 2.000 | t1//t0 = 110.000 | l1//l0 = 0.020 | alpha = 1.47 | Tmax = 0.580072
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.003 | alpha = 1.31 | Tmax = 0.170360
 HL = 5.000 | t1//t0 = 210.000 | l1//l0 = 0.700 | alpha = 1.26 | Tmax = Inf
 HL = 7.000 | t1//t0 = 13.000 | l1//l0 = 0.050 | alpha = 1.48 | Tmax = 1.109821
 HL = 18.000 | t1//t0 = 12.000 | l1//l0 = 0.030 | alpha = 1.54 | Tmax = 2.483491
 HL = 2.000 | t1//t0 = 70.000 | l1//l0 = 0.500 | alpha = 1.23 | Tmax = 0.266293
 HL = 5.000 | t1//t0 = 20.000 | l1//l0 = 0.001 | alpha = 1.37 | Tmax = 1.279501
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.44 | Tmax = 0.100260
 HL = 0.500 | t1//t0 = 70.000 | l1//l0 = 0.070 | alpha = 1.10 | Tmax = 0.132733
 HL = 2.000 | t1//t0 = 100.000 | l1//l0 = 0.300 | alpha = 1.22 | Tmax = 0.327054
 HL = 1.000 | t1//t0 = 120.000 | l1//l0 = 0.020 | alpha = 1.49 | Tmax = 0.241144
 HL = 0.500 | t1//t0 = 30.000 | l1//l0 = 0.001 | alpha = 1.05 | Tmax = 0.132308
 HL = 0.500 | t1//t0 = 40.000 | l1//l0 = 0.003 | alpha = 1.16 | Tmax = 0.129991
 HL = 7.000 | t1//t0 = 220.000 | l1//l0 = 0.700 | alpha = 1.29 | Tmax = Inf
 HL = 30.000 | t1//t0 = 30.000 | l1//l0 = 0.070 | alpha = 1.53 | Tmax = 7.232922
 HL = 0.500 | t1//t0 = 140.000 | l1//l0 = 0.300 | alpha = 1.01 | Tmax = 0.156215
 HL = 22.000 | t1//t0 = 100.000 | l1//l0 = 0.500 | alpha = 1.54 | Tmax = Inf
 HL = 0.200 | t1//t0 = 130.000 | l1//l0 = 0.050 | alpha = 1.11 | Tmax = 0.343803
 HL = 1.000 | t1//t0 = 190.000 | l1//l0 = 0.500 | alpha = 1.22 | Tmax = Inf
 HL = 1.000 | t1//t0 = 120.000 | l1//l0 = 0.100 | alpha = 1.17 | Tmax = 0.175925
 HL = 2.000 | t1//t0 = 17.000 | l1//l0 = 0.005 | alpha = 1.29 | Tmax = 0.378414
 HL = 7.000 | t1//t0 = 100.000 | l1//l0 = 1.000 | alpha = 1.21 | Tmax = Inf
 HL = 7.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.45 | Tmax = 0.826790
 HL = 7.000 | t1//t0 = 12.000 | l1//l0 = 0.070 | alpha = 1.37 | Tmax = 1.787299
 HL = 1.000 | t1//t0 = 160.000 | l1//l0 = 0.070 | alpha = 1.02 | Tmax = 0.250351
 HL = 1.000 | t1//t0 = 190.000 | l1//l0 = 0.100 | alpha = 1.34 | Tmax = 0.107979
 HL = 0.200 | t1//t0 = 90.000 | l1//l0 = 0.007 | alpha = 1.18 | Tmax = 0.219672
 HL = 5.000 | t1//t0 = 15.000 | l1//l0 = 0.030 | alpha = 1.47 | Tmax = 0.701942
 HL = 7.000 | t1//t0 = 170.000 | l1//l0 = 0.300 | alpha = 1.50 | Tmax = Inf
 HL = 2.000 | t1//t0 = 50.000 | l1//l0 = 0.100 | alpha = 1.41 | Tmax = 0.197998
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.32 | Tmax = 0.923726
 HL = 15.000 | t1//t0 = 90.000 | l1//l0 = 0.700 | alpha = 1.55 | Tmax = Inf
 HL = 10.000 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.38 | Tmax = 2.363595
 HL = 0.200 | t1//t0 = 150.000 | l1//l0 = 0.010 | alpha = 1.03 | Tmax = 0.159394
 HL = 2.000 | t1//t0 = 40.000 | l1//l0 = 0.500 | alpha = 1.38 | Tmax = 0.114692
 HL = 28.000 | t1//t0 = 20.000 | l1//l0 = 0.500 | alpha = 1.53 | Tmax = 4.690122
 HL = 22.000 | t1//t0 = 12.000 | l1//l0 = 0.001 | alpha = 1.55 | Tmax = 2.654406
 HL = 0.200 | t1//t0 = 220.000 | l1//l0 = 0.007 | alpha = 1.21 | Tmax = 0.095806
 HL = 28.000 | t1//t0 = 160.000 | l1//l0 = 0.500 | alpha = 1.53 | Tmax = Inf
 HL = 0.200 | t1//t0 = 110.000 | l1//l0 = 0.001 | alpha = 1.23 | Tmax = 0.137226
 HL = 15.000 | t1//t0 = 90.000 | l1//l0 = 0.300 | alpha = 1.45 | Tmax = Inf
 HL = 1.000 | t1//t0 = 70.000 | l1//l0 = 0.002 | alpha = 1.44 | Tmax = 0.374663
 HL = 1.000 | t1//t0 = 120.000 | l1//l0 = 0.020 | alpha = 1.40 | Tmax = 0.301940
 HL = 0.200 | t1//t0 = 120.000 | l1//l0 = 0.003 | alpha = 1.16 | Tmax = 0.144646
 HL = 0.200 | t1//t0 = 210.000 | l1//l0 = 0.070 | alpha = 1.09 | Tmax = 0.365300
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.27 | Tmax = 0.869348
 HL = 1.000 | t1//t0 = 90.000 | l1//l0 = 0.030 | alpha = 1.01 | Tmax = 0.301216
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.007 | alpha = 1.44 | Tmax = 0.091393
 HL = 0.200 | t1//t0 = 130.000 | l1//l0 = 0.003 | alpha = 1.32 | Tmax = 0.094703
 HL = 0.500 | t1//t0 = 110.000 | l1//l0 = 0.020 | alpha = 1.30 | Tmax = 0.142074
 HL = 7.000 | t1//t0 = 30.000 | l1//l0 = 0.500 | alpha = 1.32 | Tmax = 1.623437
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.070 | alpha = 1.08 | Tmax = 0.144692
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.010 | alpha = 1.00 | Tmax = 0.563084
 HL = 0.200 | t1//t0 = 40.000 | l1//l0 = 0.001 | alpha = 1.02 | Tmax = 0.304775
 HL = 0.500 | t1//t0 = 40.000 | l1//l0 = 0.030 | alpha = 1.04 | Tmax = 0.132767
 HL = 1.000 | t1//t0 = 50.000 | l1//l0 = 0.300 | alpha = 1.12 | Tmax = 0.141928
 HL = 2.000 | t1//t0 = 110.000 | l1//l0 = 0.050 | alpha = 1.19 | Tmax = 0.567161
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.19 | Tmax = 0.104037
 HL = 7.000 | t1//t0 = 80.000 | l1//l0 = 1.000 | alpha = 1.35 | Tmax = Inf
 HL = 0.500 | t1//t0 = 190.000 | l1//l0 = 0.030 | alpha = 1.43 | Tmax = 0.121283
 HL = 5.000 | t1//t0 = 60.000 | l1//l0 = 0.500 | alpha = 1.36 | Tmax = 0.856437
 HL = 1.000 | t1//t0 = 50.000 | l1//l0 = 0.020 | alpha = 1.11 | Tmax = 0.252203
 HL = 1.000 | t1//t0 = 100.000 | l1//l0 = 0.070 | alpha = 1.21 | Tmax = 0.180623
 HL = 0.200 | t1//t0 = 150.000 | l1//l0 = 0.030 | alpha = 1.20 | Tmax = 0.283651
 HL = 0.500 | t1//t0 = 40.000 | l1//l0 = 0.100 | alpha = 1.28 | Tmax = 0.162280
 HL = 2.000 | t1//t0 = 170.000 | l1//l0 = 0.070 | alpha = 1.39 | Tmax = 0.309755
 HL = 2.000 | t1//t0 = 140.000 | l1//l0 = 1.000 | alpha = 1.04 | Tmax = Inf
 HL = 5.000 | t1//t0 = 11.000 | l1//l0 = 0.001 | alpha = 1.52 | Tmax = 0.268070
