1,0.5,4,0.02,1.44,0.13547
2,1,5,0.7,1.01,0.17786
3,0.2,13,0.03,1.14,0.11008
4,0.5,12,0.7,1.31,0.13682
5,0.5,9,0.07,1.12,0.16007
6,0.5,9,0.07,1.12,0.16007
7,1,200,0.7,1.4,0.15678
8,0.2,170,0.7,1.2,0.31914
9,0.2,170,0.7,1.2,0.31914
10,0.5,11,0.3,1.02,0.1336
11,0.2,160,0.5,1.12,0.15766
12,0.5,2,0.005,1.01,0.12621
13,0.2,10,0.005,1.06,0.15592
14,2,11,0.7,1.4,0.27634
15,0.5,160,0.7,1.27,0.12376
16,0.5,160,0.7,1.27,0.12376
17,2,180,0.7,1.48,0.2665
18,15,90,0.7,1.55,2.544
19,2,15,0.7,1.11,0.54858
20,1,2,0.7,1.36,0.092435
21,1,2,0.7,1.36,0.092435
22,0.2,12,0.03,1.32,0.080064
23,0.2,12,0.03,1.32,0.080064
24,0.2,12,0.03,1.32,0.080064
25,0.2,10,0.07,1.12,0.17485
26,0.5,11,0.07,1.08,0.17395
27,5,30,1,1.52,0.31455
28,0.5,90,0.7,1.13,0.12812
29,0.2,5,0.003,1.15,0.27873
30,0.2,17,0.1,1.28,0.079929
31,0.5,5,0.01,1.32,0.11661
32,2,2,0.5,1.21,0.33006
33,0.2,12,0.05,1.15,0.12894
34,0.2,10,0.001,1.1,0.14919
35,0.2,10,0.001,1.1,0.14919
36,0.2,10,0.001,1.1,0.14919
37,0.2,10,0.001,1.1,0.14919
38,0.5,90,1,1.17,0.13005
39,0.2,13,0.001,1.34,0.082853
40,0.5,2,0.002,1.17,0.12914
41,0.2,13,0.003,1,0.12171
42,0.2,15,0.03,1.06,0.10289
43,0.2,12,0.05,1.24,0.10836
44,0.5,15,0.3,1.11,0.14942
45,0.2,160,0.7,1.28,0.34476
46,2,90,1,1.01,0.54976
47,2,9,0.7,1.39,0.26995
48,0.5,4,0.5,1.18,0.13985
49,0.2,20,0.002,1.09,0.080223
50,0.2,20,0.002,1.09,0.080223
51,0.2,13,0.01,1.37,0.083888
52,1,4,0.01,1.2,0.21893
53,0.5,220,0.5,1.1,0.18025
54,0.5,160,0.7,1.1,0.12994
55,0.5,13,0.7,1.3,0.13364
56,0.2,5,0.02,1.14,0.2837
57,1,20,1,1.2,0.14517
58,1,30,0.7,1.35,0.15274
59,0.2,50,0.3,1,0.085055
60,0.5,9,0.03,1.13,0.16804
61,0.5,9,0.03,1.13,0.16804
62,0.5,12,0.5,1.33,0.1198
63,1,4,0.7,1.13,0.14347
64,1,5,0.07,1.52,0.065252
65,5,2,1,1.15,1.2346
66,0.2,13,0.001,1.34,0.082853
67,0.2,13,0.001,1.34,0.082853
68,0.2,13,0.001,1.34,0.082853
69,0.2,13,0.001,1.34,0.082853
70,0.5,5,0.7,1.09,0.1379
71,0.5,5,0.7,1.09,0.1379
72,0.2,190,0.5,1.17,0.14671
73,0.2,190,0.5,1.17,0.14671
74,1,20,1,1.21,0.14215
75,1,5,1,1.25,0.097709
76,1,5,1,1.25,0.097709
77,0.5,11,0.7,1.16,0.12622
78,0.5,11,0.7,1.16,0.12622
79,0.5,11,0.7,1.16,0.12622
80,10,2,0.003,1.5,1.9803
81,0.2,13,0.02,1.34,0.082219
82,0.2,13,0.02,1.34,0.082219
83,0.2,5,0.001,1.23,0.28673
84,0.5,160,0.7,1.05,0.1311
85,0.5,160,0.7,1.05,0.1311
86,0.5,160,0.7,1.05,0.1311
87,0.5,160,0.7,1.05,0.1311
88,0.5,160,0.7,1.05,0.1311
89,0.5,160,0.7,1.05,0.1311
90,0.2,13,0.007,1.19,0.092367
