 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.14 | Tmax = 0.283705
 HL = 1.000 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.20 | Tmax = 0.145167
 HL = 1.000 | t1//t0 = 30.000 | l1//l0 = 0.700 | alpha = 1.35 | Tmax = 0.152744
 HL = 0.200 | t1//t0 = 50.000 | l1//l0 = 0.300 | alpha = 1.00 | Tmax = 0.085055
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.030 | alpha = 1.13 | Tmax = 0.168042
 HL = 1.000 | t1//t0 = 110.000 | l1//l0 = 1.000 | alpha = 1.13 | Tmax = 0.184954
 HL = 0.500 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.33 | Tmax = 0.119800
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.13 | Tmax = 0.143469
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.52 | Tmax = 0.065252
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.15 | Tmax = 1.234639
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.001 | alpha = 1.34 | Tmax = 0.082853
 HL = 0.200 | t1//t0 = 30.000 | l1//l0 = 0.500 | alpha = 1.25 | Tmax = 0.270446
 HL = 1.000 | t1//t0 = 70.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.202796
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 4.639662
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.09 | Tmax = 0.137898
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.28 | Tmax = 0.330480
 HL = 0.200 | t1//t0 = 190.000 | l1//l0 = 0.500 | alpha = 1.17 | Tmax = 0.146706
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.33 | Tmax = 0.302231
 HL = 1.000 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.21 | Tmax = 0.142153
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.25 | Tmax = 0.097709
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.34 | Tmax = 0.254595
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.16 | Tmax = 0.126223
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.001 | alpha = 1.46 | Tmax = 1.262967
 HL = 0.500 | t1//t0 = 210.000 | l1//l0 = 0.700 | alpha = 1.07 | Tmax = 0.130979
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.50 | Tmax = 1.980329
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.020 | alpha = 1.34 | Tmax = 0.082219
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.007 | alpha = 1.40 | Tmax = 0.084735
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.001 | alpha = 1.23 | Tmax = 0.286731
 HL = 0.500 | t1//t0 = 160.000 | l1//l0 = 0.700 | alpha = 1.05 | Tmax = 0.131105
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.13 | Tmax = 0.300889
 HL = 2.000 | t1//t0 = 160.000 | l1//l0 = 1.000 | alpha = 1.14 | Tmax = 0.496255
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.003 | alpha = 1.23 | Tmax = 0.145967
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.38 | Tmax = 0.134881
 HL = 0.500 | t1//t0 = 70.000 | l1//l0 = 1.000 | alpha = 1.26 | Tmax = 0.138965
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.007 | alpha = 1.19 | Tmax = 0.092367
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.05 | Tmax = 0.158757
 HL = 0.500 | t1//t0 = 160.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.143502
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.23 | Tmax = 0.120207
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.07 | Tmax = 0.134917
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.51 | Tmax = 0.122941
 HL = 7.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.48 | Tmax = 1.546973
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.16 | Tmax = 0.181272
 HL = 0.200 | t1//t0 = 120.000 | l1//l0 = 0.700 | alpha = 1.22 | Tmax = 0.328560
 HL = 0.200 | t1//t0 = 50.000 | l1//l0 = 0.300 | alpha = 1.14 | Tmax = 0.077962
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.100 | alpha = 1.15 | Tmax = 0.154691
