1;0,007;1,55;0,061134;105;373,41
2;0,5;1,34;0,084894;183;828,63
3;1;1,2;0,092316;172;823,67
4;0,007;1,55;0,061134;105;353,8
5;1;1,2;0,092316;183;886,43
6;0,7;1,28;0,088495;187;865,32
7;0,007;1,55;0,061134;14;54,938
8;0,001;1,55;0,069446;165;729,99
9;0,001;1,55;0,069446;173;771,92
10;0,007;1,55;0,061134;102;344,19
11;0,3;1,4;0,079248;176;724,87
12;0,007;1,55;0,061134;111;439,1
13;0,007;1,55;0,061134;109;420,99
14;0,007;1,55;0,061134;108;391,19
15;0,007;1,55;0,061134;4;28,648
16;1;1,2;0,092316;187;891,05
17;0,007;1,55;0,061134;11;48,532
18;0,001;1,55;0,069446;160;671
19;1;1,2;0,092316;174;822,28
20;0,007;1,55;0,061134;108;391,38
21;0,007;1,55;0,061134;24;101,79
22;0,7;1,28;0,088495;171;779,69
23;0,7;1,28;0,088495;164;750,03
24;0,007;1,55;0,061134;112;305,44
25;1;1,2;0,092316;183;848,65
26;0,3;1,4;0,079248;165;657,29
27;0,007;1,55;0,061134;106;384,68
28;0,5;1,34;0,084894;176;770,74
29;0,3;1,4;0,079248;168;681,4
30;0,007;1,55;0,061134;109;403,5
