HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = 0.253630
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.020 | alpha = 1.44 | Tmax = 0.119188
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.18 | Tmax = 0.292175
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.030 | alpha = 1.14 | Tmax = 0.071782
 HL = 0.500 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.31 | Tmax = 0.134895
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.54 | Tmax = 5.733880
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.47 | Tmax = 2.399939
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.001 | alpha = 1.28 | Tmax = 0.162635
 HL = 0.200 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.15 | Tmax = 0.166435
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.21 | Tmax = 0.248279
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.32 | Tmax = 1.251631
 HL = 0.200 | t1//t0 = 80.000 | l1//l0 = 1.000 | alpha = 1.29 | Tmax = 0.168219
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.04 | Tmax = 0.145824
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.078550
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.007 | alpha = 1.41 | Tmax = 0.208072
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.20 | Tmax = 0.120053
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.007 | alpha = 1.04 | Tmax = 0.196747
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.34 | Tmax = 0.129828
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.23 | Tmax = 0.149409
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.003 | alpha = 1.20 | Tmax = 0.072006
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.02 | Tmax = 0.126778
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.007 | alpha = 1.19 | Tmax = 0.072656
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.003 | alpha = 1.15 | Tmax = 0.181975
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.007 | alpha = 1.15 | Tmax = 0.152993
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.06 | Tmax = 0.205078
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.010 | alpha = 1.26 | Tmax = 0.159548
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.23 | Tmax = 0.468990
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.007 | alpha = 1.17 | Tmax = 0.072999
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.020 | alpha = 1.27 | Tmax = 0.225442
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.27 | Tmax = 0.124844
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.03 | Tmax = 0.192803
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.007 | alpha = 1.11 | Tmax = 0.082239
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.020 | alpha = 1.17 | Tmax = 0.070822
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.030 | alpha = 1.18 | Tmax = 0.072926
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.25 | Tmax = 0.123559
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.23 | Tmax = 0.286441
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.007 | alpha = 1.14 | Tmax = 0.184501
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.010 | alpha = 1.14 | Tmax = 0.077866
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.20 | Tmax = 0.181440
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.050 | alpha = 1.15 | Tmax = 0.080718
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.17 | Tmax = 0.123579
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.050 | alpha = 1.13 | Tmax = 0.084195
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.010 | alpha = 1.15 | Tmax = 0.070426
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.12 | Tmax = 0.150577
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.007 | alpha = 1.20 | Tmax = 0.072972
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.020 | alpha = 1.15 | Tmax = 0.072221
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.007 | alpha = 1.11 | Tmax = 0.094246
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.030 | alpha = 1.14 | Tmax = 0.091892
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.030 | alpha = 1.15 | Tmax = 0.089926
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.14 | Tmax = 0.090467
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.10 | Tmax = 0.071096
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.030 | alpha = 1.16 | Tmax = 0.076766
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.010 | alpha = 1.14 | Tmax = 0.070164
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.020 | alpha = 1.11 | Tmax = 0.074745
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.010 | alpha = 1.11 | Tmax = 0.082591
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.007 | alpha = 1.16 | Tmax = 0.074465
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.15 | Tmax = 0.088532
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.010 | alpha = 1.18 | Tmax = 0.071777
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.020 | alpha = 1.14 | Tmax = 0.071946
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.007 | alpha = 1.14 | Tmax = 0.088674
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.020 | alpha = 1.13 | Tmax = 0.080571
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.010 | alpha = 1.16 | Tmax = 0.071715
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.010 | alpha = 1.13 | Tmax = 0.071346
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.12 | Tmax = 0.094267
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.17 | Tmax = 0.084627
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.007 | alpha = 1.15 | Tmax = 0.070477
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.020 | alpha = 1.14 | Tmax = 0.078940
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.007 | alpha = 1.14 | Tmax = 0.088674
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.010 | alpha = 1.15 | Tmax = 0.071436
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.010 | alpha = 1.14 | Tmax = 0.071165
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.020 | alpha = 1.16 | Tmax = 0.071548
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.010 | alpha = 1.16 | Tmax = 0.070705
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.007 | alpha = 1.14 | Tmax = 0.077555
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.020 | alpha = 1.14 | Tmax = 0.070997
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.010 | alpha = 1.14 | Tmax = 0.070164
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.32 | Tmax = 0.128985
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.007 | alpha = 1.19 | Tmax = 0.073611
 HL = 0.500 | t1//t0 = 160.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.172266
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.23 | Tmax = 0.126455
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.33 | Tmax = 0.074579
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.122377
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.30 | Tmax = 0.575245
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.001 | alpha = 1.51 | Tmax = 0.190883
 HL = 0.200 | t1//t0 = 150.000 | l1//l0 = 1.000 | alpha = 1.10 | Tmax = 0.146889
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.39 | Tmax = 0.116703
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.42 | Tmax = 0.084460
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.24 | Tmax = 0.236652
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.26 | Tmax = 0.154880
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.13 | Tmax = 0.172493
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.050 | alpha = 1.26 | Tmax = 0.070861
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.13 | Tmax = 0.285857
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.07 | Tmax = 0.322905
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.007 | alpha = 1.19 | Tmax = 0.226773
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.070 | alpha = 1.04 | Tmax = 0.074214
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.22 | Tmax = 0.172961
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.010 | alpha = 1.21 | Tmax = 0.155896
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.010 | alpha = 1.25 | Tmax = 0.072491
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.030 | alpha = 1.07 | Tmax = 0.302289
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.24 | Tmax = 0.073712
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.14 | Tmax = 0.504537
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.003 | alpha = 1.01 | Tmax = 0.077495
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.003 | alpha = 1.04 | Tmax = 0.071570
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.002 | alpha = 1.01 | Tmax = 0.149157
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.04 | Tmax = 0.209070
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.11 | Tmax = 0.124606
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.23 | Tmax = 0.172789
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.15 | Tmax = 0.072386
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.005 | alpha = 1.21 | Tmax = 0.072297
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.030 | alpha = 1.19 | Tmax = 0.071229
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.16 | Tmax = 0.072667
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.007 | alpha = 1.16 | Tmax = 0.153456
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.050 | alpha = 1.13 | Tmax = 0.070222
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.07 | Tmax = 0.233350
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.13 | Tmax = 0.133021
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.007 | alpha = 1.13 | Tmax = 0.230223
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.007 | alpha = 1.10 | Tmax = 0.190126
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.020 | alpha = 1.11 | Tmax = 0.233973
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.020 | alpha = 1.10 | Tmax = 0.069998
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.010 | alpha = 1.11 | Tmax = 0.094645
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.030 | alpha = 1.14 | Tmax = 0.071738
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.050 | alpha = 1.14 | Tmax = 0.073500
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.050 | alpha = 1.11 | Tmax = 0.087565
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.007 | alpha = 1.11 | Tmax = 0.094246
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.030 | alpha = 1.11 | Tmax = 0.072717
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.010 | alpha = 1.08 | Tmax = 0.070824
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.030 | alpha = 1.13 | Tmax = 0.093840
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.020 | alpha = 1.13 | Tmax = 0.073395
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.030 | alpha = 1.11 | Tmax = 0.071002
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.030 | alpha = 1.09 | Tmax = 0.078436
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.030 | alpha = 1.10 | Tmax = 0.070263
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.020 | alpha = 1.10 | Tmax = 0.069998
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.030 | alpha = 1.07 | Tmax = 0.071763
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.020 | alpha = 1.11 | Tmax = 0.070240
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.010 | alpha = 1.12 | Tmax = 0.073378
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.020 | alpha = 1.10 | Tmax = 0.076056
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.030 | alpha = 1.12 | Tmax = 0.072972
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.11 | Tmax = 0.071338
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.08 | Tmax = 0.070628
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.020 | alpha = 1.12 | Tmax = 0.070491
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.030 | alpha = 1.08 | Tmax = 0.079813
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.020 | alpha = 1.10 | Tmax = 0.085419
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.010 | alpha = 1.09 | Tmax = 0.069934
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.010 | alpha = 1.09 | Tmax = 0.076404
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.007 | alpha = 1.09 | Tmax = 0.069986
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.007 | alpha = 1.08 | Tmax = 0.070620
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.09 | Tmax = 0.070859
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.007 | alpha = 1.08 | Tmax = 0.077388
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.010 | alpha = 1.10 | Tmax = 0.075110
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.010 | alpha = 1.08 | Tmax = 0.070823
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.020 | alpha = 1.09 | Tmax = 0.070551
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.10 | Tmax = 0.071097
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.08 | Tmax = 0.070628
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.020 | alpha = 1.09 | Tmax = 0.070690
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.007 | alpha = 1.10 | Tmax = 0.070221
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.007 | alpha = 1.09 | Tmax = 0.070910
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.010 | alpha = 1.10 | Tmax = 0.070170
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.49 | Tmax = 0.079214
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.996116
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.34 | Tmax = 0.368640
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.22 | Tmax = 0.118753
 HL = 0.500 | t1//t0 = 140.000 | l1//l0 = 1.000 | alpha = 1.42 | Tmax = 0.164849
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.32 | Tmax = 0.129612
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.28 | Tmax = 0.293149
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.020 | alpha = 1.34 | Tmax = 0.220867
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.020 | alpha = 1.13 | Tmax = 0.071684
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.35 | Tmax = 0.166361
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.28 | Tmax = 0.114723
