1,0.2,70,0.003,1.43,0.23493
2,0.2,70,0.003,1.43,0.23493
3,1,40,0.02,1.34,0.14244
4,1,5,0.7,1.01,0.12671
5,1,10,0.7,1.18,0.10409
6,0.5,30,0.07,1.06,0.13427
7,0.5,30,0.07,1.06,0.13427
8,2,20,0.05,1.03,0.55087
9,2,18,0.5,1.21,0.2776
10,2,18,0.5,1.21,0.2776
11,0.5,2,0.05,1.32,0.19443
12,2,60,0.7,1.31,0.15643
13,1,5,0.03,1,0.20051
14,1,5,0.03,1,0.20051
15,1,17,0.07,1.12,0.17414
16,1,17,0.07,1.12,0.17414
17,1,17,0.07,1.12,0.17414
18,1,17,0.07,1.12,0.17414
19,1,17,0.07,1.12,0.17414
20,1,12,1,1.18,0.10901
21,1,12,1,1.18,0.10901
22,1,12,1,1.18,0.10901
23,0.5,9,0.3,1.02,0.16189
24,1,60,0.05,1.3,0.14754
25,5,17,0.7,1.32,0.8695
26,5,30,0.07,1.34,1.2711
27,7,15,0.3,1.34,1.6876
28,2,40,0.05,1.07,0.56999
29,1,11,0.3,1.04,0.15776
30,2,20,0.5,1.12,0.34094
31,2,40,0.3,1.18,0.35447
32,2,11,0.05,1.31,0.3054
33,2,11,0.05,1.31,0.3054
34,2,11,0.1,1.04,0.49657
35,0.5,40,0.3,1.09,0.16521
36,0.5,10,0.1,1.07,0.14786
37,2,30,0.1,1.32,0.30544
38,0.5,2,0.1,1.28,0.19178
39,0.5,11,0.07,1.28,0.17145
40,0.5,11,0.07,1.28,0.17145
41,1,30,0.7,1.03,0.12611
42,1,30,0.7,1.03,0.12611
43,1,30,0.7,1.03,0.12611
44,5,2,0.5,1.32,0.92373
45,2,10,0.07,1.11,0.46122
46,7,15,0.7,1.28,1.6217
47,0.5,17,0.5,1.03,0.17608
48,0.5,17,0.5,1.03,0.17608
49,1,2,0.7,1.11,0.10364
50,1,2,0.7,1.11,0.10364
51,0.2,2,0.07,1.12,0.1674
52,2,15,0.3,1.1,0.40019
53,0.5,13,0.1,1.24,0.16671
54,1,2,0.1,1.04,0.27023
55,1,2,0.1,1.04,0.27023
56,1,12,0.07,1.13,0.1654
57,1,12,0.07,1.13,0.1654
58,1,12,0.07,1.13,0.1654
59,0.5,5,0.1,1.03,0.1476
60,0.5,5,0.3,1.08,0.16998
61,0.5,13,0.1,1.1,0.14914
62,0.5,13,0.1,1.1,0.14914
63,1,4,0.5,1.25,0.10368
64,1,4,0.5,1.25,0.10368
65,1,4,0.5,1.25,0.10368
66,1,4,0.5,1.25,0.10368
67,0.5,11,0.07,1.21,0.15991
68,0.5,11,0.07,1.21,0.15991
69,0.5,5,0.1,1.13,0.15865
70,2,13,0.7,1.07,0.32907
71,1,2,1,1.12,0.10886
72,1,2,1,1.12,0.10886
73,1,2,1,1.12,0.10886
74,1,2,1,1.12,0.10886
75,1,2,1,1.12,0.10886
76,0.5,12,0.5,1.1,0.18439
77,0.5,12,0.5,1.1,0.18439
78,0.5,15,0.1,1.11,0.14911
79,0.5,15,0.1,1.11,0.14911
80,0.5,30,0.002,1.38,0.14519
81,0.5,30,0.002,1.38,0.14519
82,0.5,30,0.002,1.38,0.14519
83,0.5,30,0.002,1.38,0.14519
84,0.5,30,0.002,1.38,0.14519
85,2,30,0.05,1.03,0.57544
86,1,50,0.07,1.03,0.22472
87,1,60,0.07,1.36,0.10262
88,5,4,0.05,1.37,1.0349
89,5,4,0.05,1.37,1.0349
90,1,40,0.1,1.35,0.092145
91,1,40,0.1,1.35,0.092145
92,1,40,0.1,1.35,0.092145
93,1,40,0.1,1.35,0.092145
94,2,60,0.5,1.15,0.325
95,2,60,0.5,1.15,0.325
96,2,60,0.5,1.15,0.325
97,1,60,0.007,1.36,0.24253
98,7,17,0.05,1.49,1.0452
99,7,17,0.05,1.49,1.0452
100,1,11,0.02,1.29,0.11486
101,1,11,0.02,1.29,0.11486
102,0.5,120,0.03,1.25,0.13034
103,0.5,120,0.03,1.25,0.13034
104,0.5,120,0.03,1.25,0.13034
105,0.5,120,0.03,1.25,0.13034
106,5,60,0.5,1.46,0.4327
107,2,100,0.1,1.27,0.38984
108,7,10,1,1.33,1.2932
109,7,30,0.3,1.41,1.3815
110,7,30,0.3,1.41,1.3815
111,1,11,0.01,1.32,0.10407
112,1,11,0.01,1.32,0.10407
113,1,11,0.01,1.32,0.10407
114,1,13,0.05,1.4,0.090701
115,1,13,0.05,1.4,0.090701
116,1,13,0.05,1.4,0.090701
117,1,9,0.7,1.31,0.11001
118,1,9,0.7,1.31,0.11001
119,1,11,0.02,1.37,0.086133
120,1,30,0.005,1.22,0.19423
121,0.5,11,0.003,1.32,0.16893
122,7,17,0.01,1.4,1.8165
123,1,30,0.1,1.41,0.09095
124,1,18,0.05,1.36,0.088531
125,1,18,0.05,1.36,0.088531
126,1,11,0.02,1.3,0.11072
127,0.5,9,0.03,1.26,0.16447
128,1,10,0.05,1.34,0.089303
129,1,10,0.05,1.34,0.089303
130,1,13,0.003,1.42,0.087999
131,1,13,0.003,1.42,0.087999
132,0.2,2,0.05,1.36,0.11229
133,0.2,2,0.05,1.36,0.11229
134,1,11,0.01,1.33,0.09983
135,1,11,0.01,1.33,0.09983
136,7,5,0.03,1.46,1.2131
137,1,9,0.007,1.33,0.097115
138,2,18,0.01,1.4,0.24063
139,5,12,0.007,1.37,1.1575
140,2,15,0.05,1.24,0.38646
141,2,20,0.03,1.43,0.17983
142,0.5,30,0.03,1.29,0.14629
143,7,40,0.007,1.5,1.5416
144,2,4,0.005,1.36,0.23256
145,2,4,0.005,1.36,0.23256
146,2,20,0.05,1.25,0.39193
147,0.5,17,0.005,1.28,0.1515
148,2,9,0.003,1.29,0.33807
149,2,9,0.003,1.29,0.33807
150,0.5,12,0.03,1.3,0.1679
151,0.5,12,0.03,1.3,0.1679
152,1,11,0.05,1.35,0.086994
153,2,15,0.03,1.27,0.37044
