HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = Inf
 HL = 0.200 | t1//t0 = 70.000 | l1//l0 = 0.003 | alpha = 1.43 | Tmax = 0.234927
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.10 | Tmax = 0.463494
 HL = 1.000 | t1//t0 = 40.000 | l1//l0 = 0.020 | alpha = 1.34 | Tmax = 0.142442
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.01 | Tmax = 0.126711
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.18 | Tmax = 0.104094
 HL = 0.500 | t1//t0 = 30.000 | l1//l0 = 0.070 | alpha = 1.06 | Tmax = 0.134275
 HL = 18.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = Inf
 HL = 2.000 | t1//t0 = 20.000 | l1//l0 = 0.050 | alpha = 1.03 | Tmax = 0.550871
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.500 | alpha = 1.21 | Tmax = 0.277602
 HL = 5.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.35 | Tmax = 0.782284
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.32 | Tmax = 0.194426
 HL = 2.000 | t1//t0 = 60.000 | l1//l0 = 0.700 | alpha = 1.31 | Tmax = 0.156426
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.030 | alpha = 1.00 | Tmax = 0.200505
 HL = 5.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.08 | Tmax = 1.314859
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 0.070 | alpha = 1.12 | Tmax = 0.174143
 HL = 2.000 | t1//t0 = 60.000 | l1//l0 = 0.030 | alpha = 1.33 | Tmax = 0.450660
 HL = 5.000 | t1//t0 = 10.000 | l1//l0 = 0.500 | alpha = 1.34 | Tmax = 0.898054
 HL = 5.000 | t1//t0 = 60.000 | l1//l0 = 0.700 | alpha = 1.24 | Tmax = 1.059266
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.030 | alpha = 1.07 | Tmax = 0.534347
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.18 | Tmax = 0.109006
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.500 | alpha = 1.01 | Tmax = 0.403088
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.28 | Tmax = 1.021434
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.02 | Tmax = 0.161889
 HL = 1.000 | t1//t0 = 60.000 | l1//l0 = 0.050 | alpha = 1.30 | Tmax = 0.147536
 HL = 5.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.32 | Tmax = 0.869500
 HL = 5.000 | t1//t0 = 30.000 | l1//l0 = 0.070 | alpha = 1.34 | Tmax = 1.271113
 HL = 7.000 | t1//t0 = 15.000 | l1//l0 = 0.300 | alpha = 1.34 | Tmax = 1.687557
 HL = 2.000 | t1//t0 = 40.000 | l1//l0 = 0.050 | alpha = 1.07 | Tmax = 0.569995
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.04 | Tmax = 0.157762
 HL = 2.000 | t1//t0 = 20.000 | l1//l0 = 0.500 | alpha = 1.12 | Tmax = 0.340942
 HL = 2.000 | t1//t0 = 40.000 | l1//l0 = 0.300 | alpha = 1.18 | Tmax = 0.354466
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.050 | alpha = 1.31 | Tmax = 0.305396
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 0.070 | alpha = 1.22 | Tmax = 0.385475
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.100 | alpha = 1.04 | Tmax = 0.496570
 HL = 0.500 | t1//t0 = 40.000 | l1//l0 = 0.300 | alpha = 1.09 | Tmax = 0.165215
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.100 | alpha = 1.07 | Tmax = 0.147859
 HL = 2.000 | t1//t0 = 30.000 | l1//l0 = 0.100 | alpha = 1.32 | Tmax = 0.305435
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.28 | Tmax = 0.191777
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.070 | alpha = 1.28 | Tmax = 0.171450
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.100 | alpha = 1.12 | Tmax = 0.459724
 HL = 1.000 | t1//t0 = 30.000 | l1//l0 = 0.700 | alpha = 1.03 | Tmax = 0.126109
 HL = 5.000 | t1//t0 = 30.000 | l1//l0 = 1.000 | alpha = 1.26 | Tmax = 0.897652
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.13 | Tmax = 0.187659
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.32 | Tmax = 0.923726
 HL = 2.000 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.11 | Tmax = 0.461220
 HL = 7.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.28 | Tmax = 1.621658
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.03 | Tmax = 0.176083
 HL = 2.000 | t1//t0 = 40.000 | l1//l0 = 0.500 | alpha = 1.31 | Tmax = 0.192352
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.11 | Tmax = 0.103645
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.04 | Tmax = 0.137124
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.12 | Tmax = 0.167402
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.300 | alpha = 1.10 | Tmax = 0.400192
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.24 | Tmax = 0.166715
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.04 | Tmax = 0.270230
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.26 | Tmax = 0.307342
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.070 | alpha = 1.13 | Tmax = 0.165397
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.09 | Tmax = 0.173464
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.15 | Tmax = 0.232469
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.03 | Tmax = 0.147602
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.08 | Tmax = 0.169980
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.10 | Tmax = 0.149141
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.100 | alpha = 1.12 | Tmax = 0.445714
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.25 | Tmax = 0.103676
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.02 | Tmax = 0.142346
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.19 | Tmax = 0.104125
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.09 | Tmax = 0.111428
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.070 | alpha = 1.21 | Tmax = 0.159906
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.20 | Tmax = 0.329653
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.13 | Tmax = 0.158655
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.07 | Tmax = 0.329074
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.12 | Tmax = 0.108863
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.25 | Tmax = 0.374542
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.10 | Tmax = 0.141909
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.100 | alpha = 1.08 | Tmax = 0.173083
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.01 | Tmax = 0.360699
 HL = 0.500 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.10 | Tmax = 0.184389
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.17 | Tmax = 1.264037
 HL = 0.500 | t1//t0 = 15.000 | l1//l0 = 0.100 | alpha = 1.11 | Tmax = 0.149107
 HL = 15.000 | t1//t0 = 90.000 | l1//l0 = 1.000 | alpha = 1.53 | Tmax = Inf
 HL = 0.500 | t1//t0 = 30.000 | l1//l0 = 0.002 | alpha = 1.38 | Tmax = 0.145185
 HL = 2.000 | t1//t0 = 110.000 | l1//l0 = 0.050 | alpha = 1.42 | Tmax = 0.303428
