HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = 0.253630
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.020 | alpha = 1.44 | Tmax = 0.119188
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.18 | Tmax = 0.292175
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.05 | Tmax = 0.106410
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.002 | alpha = 1.22 | Tmax = 0.073131
 HL = 2.000 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.51 | Tmax = 0.324418
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.47 | Tmax = 2.399939
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.09 | Tmax = 0.266722
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.15 | Tmax = 0.188927
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.21 | Tmax = 0.248279
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.050 | alpha = 1.08 | Tmax = 0.073166
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.030 | alpha = 1.19 | Tmax = 0.072274
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.32 | Tmax = 1.251631
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.20 | Tmax = 0.255242
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.23 | Tmax = 0.170950
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.007 | alpha = 1.21 | Tmax = 0.225451
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.007 | alpha = 1.19 | Tmax = 0.226774
 HL = 0.500 | t1//t0 = 20.000 | l1//l0 = 0.700 | alpha = 1.18 | Tmax = 0.163358
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.007 | alpha = 1.04 | Tmax = 0.196747
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.34 | Tmax = 0.129828
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.23 | Tmax = 0.149409
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.003 | alpha = 1.20 | Tmax = 0.072006
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.28 | Tmax = 0.147741
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.21 | Tmax = 0.307243
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.10 | Tmax = 0.203779
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.12 | Tmax = 0.130094
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.30 | Tmax = 0.168940
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.24 | Tmax = 0.123253
 HL = 0.200 | t1//t0 = 60.000 | l1//l0 = 1.000 | alpha = 1.15 | Tmax = 0.186853
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.26 | Tmax = 0.122384
 HL = 0.500 | t1//t0 = 50.000 | l1//l0 = 1.000 | alpha = 1.23 | Tmax = 0.143997
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.21 | Tmax = 0.388235
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.300 | alpha = 1.18 | Tmax = 0.121527
 HL = 0.500 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.12 | Tmax = 0.125213
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.33 | Tmax = 0.552100
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.35 | Tmax = 0.113802
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.12 | Tmax = 0.316473
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.05 | Tmax = 0.108591
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.23 | Tmax = 0.078633
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.26 | Tmax = 0.126435
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.31 | Tmax = 0.184066
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.18 | Tmax = 0.406265
 HL = 0.500 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.30 | Tmax = 0.120015
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.27 | Tmax = 0.140953
 HL = 1.000 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.12 | Tmax = 0.273031
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.25 | Tmax = 0.388683
 HL = 0.200 | t1//t0 = 40.000 | l1//l0 = 1.000 | alpha = 1.24 | Tmax = 0.215304
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.24 | Tmax = 0.311963
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.28 | Tmax = 0.149884
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.26 | Tmax = 0.121107
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.07 | Tmax = 0.252294
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.28 | Tmax = 0.293149
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.15 | Tmax = 0.249917
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.16 | Tmax = 0.139492
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.116312
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.500 | alpha = 1.07 | Tmax = 0.195674
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.05 | Tmax = 0.257165
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.24 | Tmax = 0.124646
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.23 | Tmax = 0.277956
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.29 | Tmax = 0.213870
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.28 | Tmax = 0.128459
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.13 | Tmax = 0.124631
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.300344
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.10 | Tmax = 0.314206
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.10 | Tmax = 0.162516
 HL = 0.500 | t1//t0 = 30.000 | l1//l0 = 1.000 | alpha = 1.24 | Tmax = 0.128996
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.262547
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.03 | Tmax = 0.307649
 HL = 1.000 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.20 | Tmax = 0.276768
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.007 | alpha = 1.11 | Tmax = 0.070462
 HL = 0.200 | t1//t0 = 70.000 | l1//l0 = 1.000 | alpha = 1.52 | Tmax = 0.298153
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.10 | Tmax = 0.092173
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.36 | Tmax = 0.121018
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.29 | Tmax = 0.483154
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.300 | alpha = 1.18 | Tmax = 0.070714
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.13 | Tmax = 0.199448
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.09 | Tmax = 0.132039
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.19 | Tmax = 0.299717
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.25 | Tmax = 0.129653
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.005 | alpha = 1.13 | Tmax = 0.078898
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.001 | alpha = 1.00 | Tmax = 0.149025
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.29 | Tmax = 0.125625
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.030 | alpha = 1.18 | Tmax = 0.070946
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.03 | Tmax = 0.143709
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.07 | Tmax = 0.347221
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.007 | alpha = 1.01 | Tmax = 0.234494
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.010 | alpha = 1.02 | Tmax = 0.071058
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.19 | Tmax = 0.087418
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.10 | Tmax = 0.522451
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.04 | Tmax = 0.331100
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.06 | Tmax = 0.134424
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.00 | Tmax = 0.224856
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.007 | alpha = 1.19 | Tmax = 0.073611
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.15 | Tmax = 0.088532
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.21 | Tmax = 0.188887
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.19 | Tmax = 0.487314
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.23 | Tmax = 0.073038
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.030 | alpha = 1.08 | Tmax = 0.071991
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.070 | alpha = 1.01 | Tmax = 0.085057
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.003 | alpha = 1.20 | Tmax = 0.076853
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.19 | Tmax = 0.073563
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.25 | Tmax = 0.123116
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.001 | alpha = 1.14 | Tmax = 0.228314
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.001 | alpha = 1.03 | Tmax = 0.071398
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.21 | Tmax = 0.226285
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.010 | alpha = 1.22 | Tmax = 0.071424
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.04 | Tmax = 0.218341
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.050 | alpha = 1.26 | Tmax = 0.070861
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.21 | Tmax = 0.293284
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.007 | alpha = 1.19 | Tmax = 0.226773
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.21 | Tmax = 0.128458
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.010 | alpha = 1.21 | Tmax = 0.155896
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.010 | alpha = 1.25 | Tmax = 0.072491
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.030 | alpha = 1.07 | Tmax = 0.302289
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.030 | alpha = 1.01 | Tmax = 0.238564
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.002 | alpha = 1.01 | Tmax = 0.149157
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.001 | alpha = 1.16 | Tmax = 0.071863
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.050 | alpha = 1.19 | Tmax = 0.071927
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.02 | Tmax = 0.071025
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.001 | alpha = 1.20 | Tmax = 0.072038
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.16 | Tmax = 0.072667
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.030 | alpha = 1.23 | Tmax = 0.173527
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.030 | alpha = 1.21 | Tmax = 0.177759
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.020 | alpha = 1.05 | Tmax = 0.069814
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.007 | alpha = 1.10 | Tmax = 0.190126
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.050 | alpha = 1.01 | Tmax = 0.082574
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.00 | Tmax = 0.225399
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.010 | alpha = 1.03 | Tmax = 0.072743
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.030 | alpha = 1.02 | Tmax = 0.112642
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.030 | alpha = 1.01 | Tmax = 0.089118
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.050 | alpha = 1.04 | Tmax = 0.087739
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.11 | Tmax = 0.124927
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.00 | Tmax = 0.072755
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.070 | alpha = 1.08 | Tmax = 0.076123
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.06 | Tmax = 0.336153
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.12 | Tmax = 0.240149
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.030 | alpha = 1.07 | Tmax = 0.070074
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.010 | alpha = 1.01 | Tmax = 0.110892
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.030 | alpha = 1.10 | Tmax = 0.148973
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.10 | Tmax = 0.346008
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.16 | Tmax = 0.243847
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.12 | Tmax = 0.527797
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.100 | alpha = 1.06 | Tmax = 0.070265
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.020 | alpha = 1.11 | Tmax = 0.070240
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.100 | alpha = 1.04 | Tmax = 0.069822
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.100 | alpha = 1.01 | Tmax = 0.099196
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.007 | alpha = 1.09 | Tmax = 0.072611
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.005 | alpha = 1.33 | Tmax = 0.128909
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.23 | Tmax = 0.543459
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.55 | Tmax = 5.976903
 HL = 0.200 | t1//t0 = 200.000 | l1//l0 = 1.000 | alpha = 1.09 | Tmax = 0.138782
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.002 | alpha = 1.02 | Tmax = 0.071181
 HL = 0.200 | t1//t0 = 120.000 | l1//l0 = 1.000 | alpha = 1.04 | Tmax = 0.161265
 HL = 0.500 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.29 | Tmax = 0.135043
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.27 | Tmax = 0.325518
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.001 | alpha = 1.05 | Tmax = 0.135143
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.05 | Tmax = 0.256906
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.002 | alpha = 1.20 | Tmax = 0.076748
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.09 | Tmax = 0.122898
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.06 | Tmax = 0.070202
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.010 | alpha = 1.19 | Tmax = 0.079516
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.001 | alpha = 1.23 | Tmax = 0.074066
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.01 | Tmax = 0.071867
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.23 | Tmax = 0.454477
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.03 | Tmax = 0.125804
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.002 | alpha = 1.13 | Tmax = 0.184889
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.01 | Tmax = 0.222137
