 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.152488
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.077335
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.100054
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.149686
 HL = 2.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.220773
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.100054
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.078339
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.317825
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.149686
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.078340
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.296726
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.096224
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.103670
 HL = 2.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.220773
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.500 | alpha = 1.46 | Tmax = 0.334678
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.30 | Tmax = 0.429444
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.35 | Tmax = 0.081566
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.44 | Tmax = 0.086706
 HL = 2.000 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.37 | Tmax = 0.510886
 HL = 5.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 1.029176
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.293120
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.33 | Tmax = 0.092119
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.38 | Tmax = 0.126302
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.34 | Tmax = 0.128008
 HL = 5.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.42 | Tmax = 0.927002
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = 0.080528
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.152141
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.086831
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.34 | Tmax = 0.195152
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = 0.088645
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.34 | Tmax = 0.266815
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = 0.146202
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.247127
 HL = 2.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.207914
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.080229
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.079254
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.36 | Tmax = 0.243487
 HL = 2.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.35 | Tmax = 0.332032
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.222138
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.285189
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.208797
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.076890
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.077860
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.112027
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.35 | Tmax = 0.116874
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.213302
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.078243
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.35 | Tmax = 0.342053
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.35 | Tmax = 0.084162
 HL = 0.500 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.149631
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.231081
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.304757
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.076630
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.218120
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 0.077997
