HL = 15.000 | t1//t0 = 100.000 | l1//l0 = 0.500 | alpha = 1.56 | Tmax = 0.168916
 HL = 15.000 | t1//t0 = 110.000 | l1//l0 = 0.700 | alpha = 1.56 | Tmax = Inf
 HL = 18.000 | t1//t0 = 90.000 | l1//l0 = 0.700 | alpha = 1.56 | Tmax = 0.100612
 HL = 15.000 | t1//t0 = 110.000 | l1//l0 = 0.500 | alpha = 1.56 | Tmax = 0.169267
 HL = 18.000 | t1//t0 = 90.000 | l1//l0 = 0.500 | alpha = 1.56 | Tmax = 0.447026
 HL = 18.000 | t1//t0 = 90.000 | l1//l0 = 0.500 | alpha = 1.56 | Tmax = 0.447026
 HL = 15.000 | t1//t0 = 110.000 | l1//l0 = 0.500 | alpha = 1.56 | Tmax = 0.169267
 HL = 18.000 | t1//t0 = 100.000 | l1//l0 = 0.500 | alpha = 1.56 | Tmax = 0.448166
 HL = 18.000 | t1//t0 = 90.000 | l1//l0 = 0.700 | alpha = 1.56 | Tmax = 0.100612
 HL = 15.000 | t1//t0 = 100.000 | l1//l0 = 0.700 | alpha = 1.56 | Tmax = 0.006489
 HL = 18.000 | t1//t0 = 90.000 | l1//l0 = 0.500 | alpha = 1.56 | Tmax = 0.447026
 HL = 15.000 | t1//t0 = 100.000 | l1//l0 = 0.500 | alpha = 1.56 | Tmax = 0.168916
 HL = 18.000 | t1//t0 = 90.000 | l1//l0 = 0.500 | alpha = 1.56 | Tmax = 0.447026
 HL = 15.000 | t1//t0 = 90.000 | l1//l0 = 0.700 | alpha = 1.56 | Tmax = 0.006495
 HL = 18.000 | t1//t0 = 110.000 | l1//l0 = 0.500 | alpha = 1.56 | Tmax = 0.448744
 HL = 18.000 | t1//t0 = 90.000 | l1//l0 = 0.700 | alpha = 1.56 | Tmax = 0.100612
 HL = 15.000 | t1//t0 = 90.000 | l1//l0 = 0.700 | alpha = 1.56 | Tmax = 0.006495
 HL = 15.000 | t1//t0 = 110.000 | l1//l0 = 0.700 | alpha = 1.56 | Tmax = Inf
 HL = 15.000 | t1//t0 = 90.000 | l1//l0 = 0.700 | alpha = 1.56 | Tmax = 0.006495
 HL = 18.000 | t1//t0 = 100.000 | l1//l0 = 0.700 | alpha = 1.56 | Tmax = Inf
 HL = 15.000 | t1//t0 = 90.000 | l1//l0 = 0.500 | alpha = 1.56 | Tmax = 0.168221
 HL = 18.000 | t1//t0 = 110.000 | l1//l0 = 0.500 | alpha = 1.56 | Tmax = 0.448744
 HL = 15.000 | t1//t0 = 90.000 | l1//l0 = 0.700 | alpha = 1.56 | Tmax = 0.006495
 HL = 15.000 | t1//t0 = 100.000 | l1//l0 = 0.500 | alpha = 1.56 | Tmax = 0.168916
 HL = 15.000 | t1//t0 = 90.000 | l1//l0 = 0.700 | alpha = 1.56 | Tmax = 0.006495
 HL = 1.000 | t1//t0 = 210.000 | l1//l0 = 1.000 | alpha = 1.27 | Tmax = 0.091440
 HL = 2.000 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.116368
 HL = 30.000 | t1//t0 = 20.000 | l1//l0 = 0.500 | alpha = 1.54 | Tmax = 5.879586
