HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = Inf
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = 0.159015
 HL = 22.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.54 | Tmax = 4.909461
 HL = 28.000 | t1//t0 = 15.000 | l1//l0 = 0.070 | alpha = 1.26 | Tmax = Inf
 HL = 20.000 | t1//t0 = 11.000 | l1//l0 = 0.100 | alpha = 1.30 | Tmax = Inf
 HL = 28.000 | t1//t0 = 11.000 | l1//l0 = 0.100 | alpha = 1.34 | Tmax = Inf
 HL = 22.000 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.33 | Tmax = Inf
 HL = 28.000 | t1//t0 = 12.000 | l1//l0 = 0.300 | alpha = 1.32 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.34 | Tmax = Inf
 HL = 30.000 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.42 | Tmax = Inf
 HL = 28.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = Inf
 HL = 30.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.37 | Tmax = Inf
 HL = 22.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = Inf
 HL = 28.000 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.37 | Tmax = Inf
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.36 | Tmax = Inf
 HL = 28.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.43 | Tmax = Inf
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = Inf
 HL = 28.000 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.42 | Tmax = Inf
