1,0.001,1.55,0.069446,156,1152
2,0.007,1.55,0.061134,61,378.32
3,0.02,1.54,0.062248,198,1019.5
4,0.007,1.55,0.061134,11,73.082
5,0.007,1.55,0.061134,97,463.93
6,0.5,1.34,0.084894,168,1061.3
7,0.3,1.4,0.079248,162,962.84
8,0.007,1.55,0.061134,94,548.91
9,0.3,1.4,0.079248,126,736.18
10,0.3,1.4,0.079248,160,920.76
11,0.5,1.34,0.084894,163,1035.9
12,0.3,1.4,0.079248,159,912.73
13,0.3,1.4,0.079248,162,907.12
14,0.007,1.55,0.061134,96,549.39
15,0.007,1.55,0.061134,93,534.92
16,0.007,1.55,0.061134,59,338.96
17,0.001,1.55,0.069446,143,963.63
18,0.007,1.55,0.061134,97,479.34
19,0.007,1.55,0.061134,95,552.47
20,0.007,1.55,0.061134,63,340.46
21,0.3,1.4,0.079248,163,943.4
22,0.007,1.55,0.061134,64,370.62
23,0.03,1.53,0.065168,195,959.81
24,0.007,1.55,0.061134,97,589.07
25,0.07,1.51,0.067919,148,721.4
26,0.007,1.55,0.061134,201,1120.8
27,0.02,1.54,0.062248,197,1018
28,0.007,1.55,0.061134,95,518.25
29,0.001,1.55,0.069446,150,1060
30,0.007,1.55,0.061134,92,439.67
