1;0,001;1,55;0,069446;206;1042,8
2;0,007;1,55;0,061134;91;369,13
3;0,007;1,55;0,061134;96;361,1
4;0,007;1,55;0,061134;92;358,81
5;1;1,2;0,092316;216;1034,9
6;0,007;1,55;0,061134;95;387,09
7;0,007;1,55;0,061134;60;233,21
8;0,007;1,55;0,061134;92;293,59
9;0,007;1,55;0,061134;97;366,18
10;0,02;1,54;0,062248;183;648,38
11;0,05;1,52;0,065393;217;714,45
12;0,007;1,55;0,061134;93;345,38
13;0,007;1,55;0,061134;18;76,787
14;0,02;1,54;0,062248;248;885,1
15;0,007;1,55;0,061134;70;242,78
16;0,007;1,55;0,061134;63;228,86
17;0,007;1,55;0,061134;25;96,08
18;0,007;1,55;0,061134;65;248,74
19;0,007;1,55;0,061134;94;369,47
20;0,007;1,55;0,061134;94;334,55
21;0,007;1,55;0,061134;90;288,87
22;0,007;1,55;0,061134;56;218,1
23;0,007;1,55;0,061134;58;222,63
24;0,007;1,55;0,061134;94;363,2
25;1;1,2;0,092316;159;738,47
26;0,007;1,55;0,061134;50;188,73
27;0,007;1,55;0,061134;96;400,67
28;0,007;1,55;0,061134;93;351,81
29;0,007;1,55;0,061134;93;335,19
30;0,007;1,55;0,061134;23;98,619
