 HL = 1.000 | t1//t0 = 170.000 | l1//l0 = 0.010 | alpha = 1.36 | Tmax = Inf
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.17 | Tmax = 0.063940
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.12 | Tmax = 0.148950
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.003 | alpha = 1.09 | Tmax = 0.162763
 HL = 5.000 | t1//t0 = 60.000 | l1//l0 = 0.005 | alpha = 1.53 | Tmax = Inf
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.13 | Tmax = 0.131978
 HL = 20.000 | t1//t0 = 80.000 | l1//l0 = 0.007 | alpha = 1.51 | Tmax = Inf
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.18 | Tmax = 0.126758
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.005 | alpha = 1.12 | Tmax = 0.155458
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.005 | alpha = 1.14 | Tmax = 0.063423
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.13 | Tmax = 0.062566
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.21 | Tmax = 0.223622
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.19 | Tmax = 0.126825
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.52 | Tmax = 2.336449
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.30 | Tmax = 0.121351
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.38 | Tmax = 0.144593
 HL = 10.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.56 | Tmax = 2.052842
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.22 | Tmax = 0.177681
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.002 | alpha = 1.05 | Tmax = 0.148394
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.41 | Tmax = 0.120187
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.15 | Tmax = 0.130495
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.01 | Tmax = 0.140516
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.09 | Tmax = 0.249955
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.37 | Tmax = 0.116079
 HL = 0.200 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.07 | Tmax = 0.062412
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.002 | alpha = 1.16 | Tmax = 0.062645
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.46 | Tmax = 0.134468
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.35 | Tmax = 0.449570
 HL = 7.000 | t1//t0 = 200.000 | l1//l0 = 0.007 | alpha = 1.30 | Tmax = Inf
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.141794
 HL = 5.000 | t1//t0 = 30.000 | l1//l0 = 0.002 | alpha = 1.22 | Tmax = Inf
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.24 | Tmax = 0.063911
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.20 | Tmax = 0.063433
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.47 | Tmax = 0.092607
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.28 | Tmax = 0.335338
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.15 | Tmax = 0.155744
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.16 | Tmax = 0.128109
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.100 | alpha = 1.06 | Tmax = 0.062541
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.53 | Tmax = Inf
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.53 | Tmax = 2.015153
 HL = 18.000 | t1//t0 = 120.000 | l1//l0 = 0.700 | alpha = 1.44 | Tmax = Inf
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.24 | Tmax = 0.121652
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.48 | Tmax = 1.130068
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.12 | Tmax = 0.061163
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.007 | alpha = 1.04 | Tmax = 0.065678
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.05 | Tmax = 0.311518
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.52 | Tmax = 2.363153
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.11 | Tmax = 0.134297
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.26 | Tmax = 0.179321
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.25 | Tmax = 0.124550
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.52 | Tmax = 0.787212
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.010 | alpha = 1.01 | Tmax = 0.153765
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.35 | Tmax = 0.453851
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.46 | Tmax = 0.107647
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.500 | alpha = 1.05 | Tmax = 0.063767
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.002 | alpha = 1.25 | Tmax = 0.114353
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.33 | Tmax = 0.174796
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.20 | Tmax = 0.125753
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.007 | alpha = 1.02 | Tmax = 0.147118
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.19 | Tmax = 0.148408
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.29 | Tmax = 0.424341
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.55 | Tmax = 0.488818
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.37 | Tmax = 0.064786
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.41 | Tmax = 0.385135
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.10 | Tmax = 0.253185
