1;0,3;1,26;0,13504
2;0,3;1,26;0,13504
3;0,001;1,26;0,2567
4;0,001;1,26;0,2567
5;0,005;1,5;0,11084
6;0,005;1,5;0,11084
7;0,01;1,18;0,26787
8;0,001;1,25;0,25913
9;0,002;1,1;0,28826
10;0,005;1,26;0,25316
11;0,003;1,37;0,21864
12;0,002;1,32;0,23866
13;0,002;1,32;0,23866
14;0,002;1,32;0,23866
15;0,02;1,28;0,23477
16;0,002;1,35;0,22807
17;0,001;1,42;0,19507
18;0,005;1,03;0,29796
19;0,01;1,2;0,26355
20;0,002;1,36;0,22408
21;0,002;1,36;0,22408
22;0,003;1,14;0,28047
23;0,007;1,41;0,19232
24;0,002;1,45;0,17109
25;0,002;1,14;0,28132
26;0,01;1,24;0,25409
27;0,01;1,24;0,25409
28;0,003;1,16;0,27679
29;0,01;1,36;0,21464
30;0,01;1,36;0,21464
31;0,01;1,36;0,21464
32;0,01;1,36;0,21464
33;0,01;1,36;0,21464
34;0,01;1,36;0,21464
35;0,01;1,36;0,21464
36;0,01;1,36;0,21464
37;0,01;1,37;0,21
38;0,005;1,4;0,20106
39;0,005;1,4;0,20106
40;0,002;1,31;0,24183
41;0,002;1,31;0,24183
42;0,002;1,31;0,24183
43;0,003;1,41;0,19812
44;0,005;1,3;0,24191
45;0,005;1,13;0,281
46;0,005;1,14;0,27921
47;0,01;1,21;0,26129
48;0,01;1,21;0,26129
49;0,01;1,21;0,26129
50;0,002;1,38;0,21541
51;0,005;1,46;0,15646
52;0,005;1,46;0,15646
53;0,007;1,5;0,10759
54;0,007;1,5;0,10759
55;0,01;1,37;0,21
56;0,01;1,37;0,21
57;0,01;1,37;0,21
58;0,01;1,37;0,21
59;0,01;1,37;0,21
60;0,007;1,28;0,24599
61;0,001;1,21;0,26822
62;0,003;1,36;0,22291
63;0,01;1,39;0,19989
64;0,003;1,47;0,15025
65;0,003;1,47;0,15025
66;0,01;1,38;0,20513
67;0,007;1,33;0,22995
68;0,003;1,49;0,12766
69;0,005;1,5;0,11084
70;0,005;1,5;0,11084
71;0,005;1,5;0,11084
72;0,005;1,5;0,11084
73;0,005;1,5;0,11084
74;0,005;1,5;0,11084
