 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.46 | Tmax = 0.048607
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.46 | Tmax = 0.077724
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.46 | Tmax = 0.051501
 HL = 5.000 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.48 | Tmax = 0.290528
 HL = 5.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.47 | Tmax = 0.340946
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.45 | Tmax = 0.089388
 HL = 2.000 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.45 | Tmax = 0.050824
 HL = 5.000 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.48 | Tmax = 0.536338
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.47 | Tmax = 0.049261
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.47 | Tmax = 0.048895
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.44 | Tmax = 0.050532
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.002 | alpha = 1.01 | Tmax = 0.302792
 HL = 0.500 | t1//t0 = 70.000 | l1//l0 = 0.500 | alpha = 1.23 | Tmax = 0.149002
 HL = 2.000 | t1//t0 = 130.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.191518
 HL = 5.000 | t1//t0 = 210.000 | l1//l0 = 0.700 | alpha = 1.28 | Tmax = 1.244690
 HL = 15.000 | t1//t0 = 210.000 | l1//l0 = 0.700 | alpha = 1.49 | Tmax = Inf
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.003 | alpha = 1.29 | Tmax = 0.131743
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.37 | Tmax = 0.085124
 HL = 0.200 | t1//t0 = 110.000 | l1//l0 = 0.300 | alpha = 1.21 | Tmax = 0.349900
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.10 | Tmax = 0.446016
 HL = 1.000 | t1//t0 = 100.000 | l1//l0 = 0.300 | alpha = 1.13 | Tmax = 0.255893
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.22 | Tmax = 0.208122
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.020 | alpha = 1.26 | Tmax = 0.277994
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.37 | Tmax = 0.156547
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.18 | Tmax = 1.785029
 HL = 10.000 | t1//t0 = 60.000 | l1//l0 = 1.000 | alpha = 1.46 | Tmax = 1.698456
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.39 | Tmax = 1.645579
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.100 | alpha = 1.44 | Tmax = 0.115328
 HL = 2.000 | t1//t0 = 20.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.174623
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = 0.179725
 HL = 10.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.54 | Tmax = 0.401948
 HL = 1.000 | t1//t0 = 90.000 | l1//l0 = 0.500 | alpha = 1.42 | Tmax = 0.082826
 HL = 2.000 | t1//t0 = 60.000 | l1//l0 = 0.300 | alpha = 1.30 | Tmax = 0.493512
 HL = 10.000 | t1//t0 = 30.000 | l1//l0 = 0.700 | alpha = 1.44 | Tmax = 2.198064
 HL = 0.500 | t1//t0 = 40.000 | l1//l0 = 0.300 | alpha = 1.41 | Tmax = 0.148033
 HL = 10.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.43 | Tmax = 2.423817
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.100 | alpha = 1.41 | Tmax = 1.321671
 HL = 7.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.41 | Tmax = 1.341037
 HL = 10.000 | t1//t0 = 15.000 | l1//l0 = 0.500 | alpha = 1.45 | Tmax = 2.296808
 HL = 1.000 | t1//t0 = 40.000 | l1//l0 = 0.300 | alpha = 1.42 | Tmax = 0.099438
 HL = 7.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.48 | Tmax = 1.273742
 HL = 5.000 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.51 | Tmax = 0.201265
 HL = 7.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 1.491351
 HL = 5.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = 0.973598
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.42 | Tmax = 0.141309
 HL = 7.000 | t1//t0 = 10.000 | l1//l0 = 0.500 | alpha = 1.53 | Tmax = 0.321534
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = 0.186982
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.100 | alpha = 1.52 | Tmax = 0.093515
 HL = 5.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.44 | Tmax = 0.658031
 HL = 2.000 | t1//t0 = 10.000 | l1//l0 = 0.100 | alpha = 1.49 | Tmax = 0.174830
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 0.300 | alpha = 1.42 | Tmax = 0.076966
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.41 | Tmax = 0.876224
 HL = 5.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = 1.114732
 HL = 5.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.41 | Tmax = 0.766314
 HL = 5.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.48 | Tmax = 0.424133
 HL = 5.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = 0.954240
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.41 | Tmax = 0.223345
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.42 | Tmax = 0.078627
 HL = 2.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.41 | Tmax = 0.066363
 HL = 7.000 | t1//t0 = 15.000 | l1//l0 = 0.500 | alpha = 1.45 | Tmax = 1.320519
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.41 | Tmax = 0.115831
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 0.300 | alpha = 1.41 | Tmax = 0.230510
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.47 | Tmax = 0.061510
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.42 | Tmax = 0.144259
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.49 | Tmax = 0.047427
 HL = 5.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.51 | Tmax = 0.282877
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 0.300 | alpha = 1.47 | Tmax = 0.084690
 HL = 5.000 | t1//t0 = 17.000 | l1//l0 = 0.300 | alpha = 1.50 | Tmax = 0.636177
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.500 | alpha = 1.47 | Tmax = 0.064806
 HL = 2.000 | t1//t0 = 17.000 | l1//l0 = 0.300 | alpha = 1.49 | Tmax = 0.091660
 HL = 5.000 | t1//t0 = 12.000 | l1//l0 = 0.300 | alpha = 1.51 | Tmax = 0.468894
