HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = 0.109676
 HL = 0.500 | t1//t0 = 50.000 | l1//l0 = 1.000 | alpha = 1.32 | Tmax = 0.148683
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.24 | Tmax = 0.300332
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.48 | Tmax = 0.053714
 HL = 2.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.35 | Tmax = 0.385631
 HL = 5.000 | t1//t0 = 5.000 | l1//l0 = 0.030 | alpha = 1.51 | Tmax = 1.189613
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.050 | alpha = 1.42 | Tmax = 0.083138
 HL = 1.000 | t1//t0 = 70.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.170966
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.36 | Tmax = 0.273838
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.36 | Tmax = 0.121363
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 1.281664
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.29 | Tmax = 0.105965
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.138744
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.50 | Tmax = 0.256520
 HL = 7.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.32 | Tmax = 1.788367
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.47 | Tmax = 0.077643
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.151578
 HL = 7.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.44 | Tmax = 1.749679
 HL = 7.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.55 | Tmax = 0.032467
 HL = 18.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.54 | Tmax = 3.477487
 HL = 5.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.53 | Tmax = 0.053551
 HL = 10.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.53 | Tmax = 1.337111
 HL = 7.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.50 | Tmax = 1.660676
 HL = 10.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.50 | Tmax = 1.751190
 HL = 10.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.51 | Tmax = 1.939777
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.49 | Tmax = 0.936938
 HL = 7.000 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.52 | Tmax = 1.066683
 HL = 7.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.54 | Tmax = 0.932300
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.51 | Tmax = 0.047607
 HL = 2.000 | t1//t0 = 60.000 | l1//l0 = 0.700 | alpha = 1.31 | Tmax = 0.520828
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.06 | Tmax = 0.250200
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.003 | alpha = 1.08 | Tmax = 0.080039
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.03 | Tmax = 0.473919
 HL = 22.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 3.443526
 HL = 1.000 | t1//t0 = 150.000 | l1//l0 = 1.000 | alpha = 1.03 | Tmax = 0.208423
 HL = 0.500 | t1//t0 = 170.000 | l1//l0 = 0.700 | alpha = 1.27 | Tmax = 0.123811
 HL = 1.000 | t1//t0 = 60.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.120257
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.300 | alpha = 1.07 | Tmax = 0.205325
 HL = 1.000 | t1//t0 = 50.000 | l1//l0 = 1.000 | alpha = 1.20 | Tmax = 0.158813
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.003 | alpha = 1.20 | Tmax = 0.131803
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.30 | Tmax = 0.152227
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.22 | Tmax = 0.581499
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.09 | Tmax = 0.134341
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.001 | alpha = 1.26 | Tmax = 0.344262
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.300 | alpha = 1.20 | Tmax = 0.282994
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.51 | Tmax = 0.075225
 HL = 1.000 | t1//t0 = 220.000 | l1//l0 = 0.700 | alpha = 1.15 | Tmax = 0.265272
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.50 | Tmax = 0.087298
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.25 | Tmax = 0.292782
 HL = 0.500 | t1//t0 = 80.000 | l1//l0 = 0.700 | alpha = 1.35 | Tmax = 0.120947
 HL = 1.000 | t1//t0 = 220.000 | l1//l0 = 1.000 | alpha = 1.30 | Tmax = 0.129866
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.21 | Tmax = 0.183480
 HL = 2.000 | t1//t0 = 180.000 | l1//l0 = 1.000 | alpha = 1.16 | Tmax = 0.485569
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.500 | alpha = 1.10 | Tmax = 0.127619
 HL = 1.000 | t1//t0 = 130.000 | l1//l0 = 1.000 | alpha = 1.12 | Tmax = 0.188401
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.002 | alpha = 1.03 | Tmax = 0.117751
 HL = 0.500 | t1//t0 = 190.000 | l1//l0 = 1.000 | alpha = 1.33 | Tmax = 0.146591
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.14 | Tmax = 0.122523
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.020 | alpha = 1.22 | Tmax = 0.089859
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.300 | alpha = 1.24 | Tmax = 0.164970
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.27 | Tmax = 0.119146
 HL = 5.000 | t1//t0 = 90.000 | l1//l0 = 1.000 | alpha = 1.34 | Tmax = 1.340973
 HL = 0.500 | t1//t0 = 190.000 | l1//l0 = 0.500 | alpha = 1.15 | Tmax = 0.179776
 HL = 1.000 | t1//t0 = 120.000 | l1//l0 = 0.700 | alpha = 1.12 | Tmax = 0.265224
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.51 | Tmax = 0.942606
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.04 | Tmax = 0.273029
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.005 | alpha = 1.16 | Tmax = 0.081612
 HL = 18.000 | t1//t0 = 80.000 | l1//l0 = 0.700 | alpha = 1.55 | Tmax = 3.432018
 HL = 20.000 | t1//t0 = 40.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 3.394378
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.15 | Tmax = 0.206891
 HL = 0.500 | t1//t0 = 220.000 | l1//l0 = 0.700 | alpha = 1.20 | Tmax = 0.126982
 HL = 0.200 | t1//t0 = 150.000 | l1//l0 = 0.700 | alpha = 1.17 | Tmax = 0.313515
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.34 | Tmax = 0.303813
 HL = 20.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.55 | Tmax = 1.373975
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.100 | alpha = 1.16 | Tmax = 0.149434
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.20 | Tmax = 0.157609
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.001 | alpha = 1.04 | Tmax = 0.083005
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.100 | alpha = 1.29 | Tmax = 0.080254
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.002 | alpha = 1.11 | Tmax = 0.131855
 HL = 5.000 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.36 | Tmax = 1.185226
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.030 | alpha = 1.14 | Tmax = 0.122607
 HL = 2.000 | t1//t0 = 180.000 | l1//l0 = 1.000 | alpha = 1.04 | Tmax = 0.544930
 HL = 10.000 | t1//t0 = 220.000 | l1//l0 = 1.000 | alpha = 1.48 | Tmax = 2.290894
 HL = 1.000 | t1//t0 = 70.000 | l1//l0 = 1.000 | alpha = 1.11 | Tmax = 0.186822
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.01 | Tmax = 0.271036
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 0.500 | alpha = 1.09 | Tmax = 0.274138
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.13 | Tmax = 0.136354
 HL = 0.200 | t1//t0 = 210.000 | l1//l0 = 0.500 | alpha = 1.15 | Tmax = 0.144116
 HL = 0.500 | t1//t0 = 180.000 | l1//l0 = 0.700 | alpha = 1.14 | Tmax = 0.128927
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.27 | Tmax = 0.467991
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.33 | Tmax = 0.331198
 HL = 1.000 | t1//t0 = 110.000 | l1//l0 = 1.000 | alpha = 1.14 | Tmax = 0.182335
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.020 | alpha = 1.28 | Tmax = 0.082691
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.010 | alpha = 1.41 | Tmax = 0.081824
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.44 | Tmax = 1.023350
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.030 | alpha = 1.13 | Tmax = 0.122827
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.33 | Tmax = 0.532833
 HL = 15.000 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.52 | Tmax = 3.077329
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.34 | Tmax = 0.169691
 HL = 15.000 | t1//t0 = 4.000 | l1//l0 = 0.001 | alpha = 1.54 | Tmax = 3.409875
 HL = 0.500 | t1//t0 = 90.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.122106
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.001 | alpha = 1.38 | Tmax = 0.092242
 HL = 0.500 | t1//t0 = 170.000 | l1//l0 = 0.500 | alpha = 1.07 | Tmax = 0.174988
 HL = 2.000 | t1//t0 = 100.000 | l1//l0 = 1.000 | alpha = 1.06 | Tmax = 0.530814
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.003 | alpha = 1.13 | Tmax = 0.164735
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.010 | alpha = 1.07 | Tmax = 0.177171
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.53 | Tmax = 0.473351
 HL = 2.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.27 | Tmax = 0.323635
 HL = 0.500 | t1//t0 = 70.000 | l1//l0 = 0.500 | alpha = 1.28 | Tmax = 0.156080
 HL = 1.000 | t1//t0 = 50.000 | l1//l0 = 0.500 | alpha = 1.36 | Tmax = 0.309518
 HL = 1.000 | t1//t0 = 220.000 | l1//l0 = 1.000 | alpha = 1.18 | Tmax = 0.173208
 HL = 1.000 | t1//t0 = 60.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.088693
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.030 | alpha = 1.04 | Tmax = 0.172602
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.300 | alpha = 1.28 | Tmax = 0.160329
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.16 | Tmax = 0.166835
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.070 | alpha = 1.19 | Tmax = 0.180611
 HL = 0.500 | t1//t0 = 150.000 | l1//l0 = 0.500 | alpha = 1.54 | Tmax = 0.113515
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.082538
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.020 | alpha = 1.24 | Tmax = 0.080333
 HL = 5.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.44 | Tmax = 1.113365
 HL = 0.500 | t1//t0 = 190.000 | l1//l0 = 1.000 | alpha = 1.11 | Tmax = 0.129042
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.07 | Tmax = 0.510370
 HL = 18.000 | t1//t0 = 180.000 | l1//l0 = 0.500 | alpha = 1.57 | Tmax = 0.326094
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.12 | Tmax = 0.255205
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.35 | Tmax = 1.269079
 HL = 1.000 | t1//t0 = 80.000 | l1//l0 = 0.700 | alpha = 1.49 | Tmax = 0.070676
 HL = 0.500 | t1//t0 = 160.000 | l1//l0 = 0.500 | alpha = 1.13 | Tmax = 0.175929
 HL = 1.000 | t1//t0 = 60.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.199263
 HL = 2.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.16 | Tmax = 0.535263
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.27 | Tmax = 0.180031
 HL = 0.200 | t1//t0 = 100.000 | l1//l0 = 0.500 | alpha = 1.19 | Tmax = 0.178890
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.23 | Tmax = 0.106849
 HL = 0.200 | t1//t0 = 180.000 | l1//l0 = 0.500 | alpha = 1.24 | Tmax = 0.145053
 HL = 5.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.47 | Tmax = 0.806649
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.14 | Tmax = 0.144225
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.22 | Tmax = 0.250976
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.38 | Tmax = 0.180584
 HL = 0.500 | t1//t0 = 60.000 | l1//l0 = 1.000 | alpha = 1.20 | Tmax = 0.133720
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.100 | alpha = 1.30 | Tmax = 0.157592
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.34 | Tmax = 0.086208
 HL = 0.500 | t1//t0 = 15.000 | l1//l0 = 0.300 | alpha = 1.51 | Tmax = 0.149256
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.010 | alpha = 1.31 | Tmax = 0.080522
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.030 | alpha = 1.51 | Tmax = 0.861859
 HL = 7.000 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 1.716623
 HL = 10.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.49 | Tmax = 1.863699
 HL = 10.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.52 | Tmax = 1.852195
 HL = 10.000 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.56 | Tmax = 0.679505
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 1.766766
 HL = 5.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.50 | Tmax = 0.409362
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.030 | alpha = 1.41 | Tmax = 0.128535
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.321924
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.51 | Tmax = 0.219473
 HL = 5.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.42 | Tmax = 1.168329
 HL = 7.000 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.46 | Tmax = 1.802748
 HL = 7.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.49 | Tmax = 1.275033
 HL = 20.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.55 | Tmax = Inf
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.52 | Tmax = 0.111298
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.43 | Tmax = 0.198396
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.45 | Tmax = 0.072324
 HL = 7.000 | t1//t0 = 10.000 | l1//l0 = 0.500 | alpha = 1.50 | Tmax = 1.490526
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = 0.064591
 HL = 7.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.45 | Tmax = 1.361031
 HL = 15.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.51 | Tmax = 3.700768
 HL = 10.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.49 | Tmax = 2.275375
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.50 | Tmax = 0.070442
 HL = 1.000 | t1//t0 = 120.000 | l1//l0 = 1.000 | alpha = 1.34 | Tmax = 0.110564
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.003 | alpha = 1.10 | Tmax = 0.124044
 HL = 0.500 | t1//t0 = 200.000 | l1//l0 = 0.500 | alpha = 1.29 | Tmax = 0.184548
 HL = 0.500 | t1//t0 = 120.000 | l1//l0 = 0.500 | alpha = 1.35 | Tmax = 0.168991
 HL = 0.200 | t1//t0 = 50.000 | l1//l0 = 0.300 | alpha = 1.00 | Tmax = 0.085055
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.01 | Tmax = 0.284412
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.37 | Tmax = 0.114155
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.49 | Tmax = 1.579860
 HL = 0.200 | t1//t0 = 80.000 | l1//l0 = 0.700 | alpha = 1.10 | Tmax = 0.309857
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.300 | alpha = 1.49 | Tmax = 0.202576
 HL = 5.000 | t1//t0 = 50.000 | l1//l0 = 0.700 | alpha = 1.55 | Tmax = 0.170315
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.002 | alpha = 1.32 | Tmax = 0.083446
 HL = 0.200 | t1//t0 = 30.000 | l1//l0 = 0.500 | alpha = 1.11 | Tmax = 0.255209
 HL = 0.500 | t1//t0 = 140.000 | l1//l0 = 1.000 | alpha = 1.02 | Tmax = 0.129658
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.003 | alpha = 1.19 | Tmax = 0.120945
 HL = 2.000 | t1//t0 = 20.000 | l1//l0 = 0.700 | alpha = 1.42 | Tmax = 0.301519
 HL = 0.200 | t1//t0 = 220.000 | l1//l0 = 0.700 | alpha = 1.18 | Tmax = 0.312212
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.19 | Tmax = 0.318359
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.12 | Tmax = 0.238702
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.002 | alpha = 1.15 | Tmax = 0.081226
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.54 | Tmax = 0.427263
 HL = 7.000 | t1//t0 = 20.000 | l1//l0 = 0.700 | alpha = 1.54 | Tmax = 0.633733
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.005 | alpha = 1.19 | Tmax = 0.117568
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.010 | alpha = 1.33 | Tmax = 0.118767
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.00 | Tmax = 0.125799
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.32 | Tmax = 0.436658
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.17 | Tmax = 0.164074
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.103670
 HL = 0.500 | t1//t0 = 40.000 | l1//l0 = 1.000 | alpha = 1.11 | Tmax = 0.129611
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.43 | Tmax = 0.122397
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.40 | Tmax = 1.120844
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.30 | Tmax = 0.122288
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 1.484950
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.34 | Tmax = 0.124673
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.17 | Tmax = 0.129760
 HL = 0.500 | t1//t0 = 70.000 | l1//l0 = 0.500 | alpha = 1.41 | Tmax = 0.142152
 HL = 0.200 | t1//t0 = 18.000 | l1//l0 = 0.050 | alpha = 1.26 | Tmax = 0.081791
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.20 | Tmax = 0.126988
 HL = 18.000 | t1//t0 = 20.000 | l1//l0 = 0.700 | alpha = 1.55 | Tmax = 2.802103
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.007 | alpha = 1.08 | Tmax = 0.172421
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.27 | Tmax = 0.375372
 HL = 15.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.53 | Tmax = 2.520021
 HL = 2.000 | t1//t0 = 90.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.293524
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.38 | Tmax = 0.148722
 HL = 18.000 | t1//t0 = 180.000 | l1//l0 = 0.700 | alpha = 1.54 | Tmax = 4.397990
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.18 | Tmax = 0.164172
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.09 | Tmax = 0.447869
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.082287
 HL = 0.200 | t1//t0 = 18.000 | l1//l0 = 0.002 | alpha = 1.16 | Tmax = 0.080640
 HL = 0.200 | t1//t0 = 200.000 | l1//l0 = 0.500 | alpha = 1.06 | Tmax = 0.153875
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.46 | Tmax = 0.140932
 HL = 0.500 | t1//t0 = 210.000 | l1//l0 = 0.700 | alpha = 1.21 | Tmax = 0.126546
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.09 | Tmax = 0.180887
 HL = 0.500 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.06 | Tmax = 0.141666
 HL = 0.500 | t1//t0 = 150.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.120537
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.17 | Tmax = 0.457829
 HL = 0.500 | t1//t0 = 140.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = 0.120965
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.300 | alpha = 1.06 | Tmax = 0.205718
 HL = 1.000 | t1//t0 = 210.000 | l1//l0 = 0.700 | alpha = 1.14 | Tmax = 0.266958
 HL = 28.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = 6.151202
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.001 | alpha = 1.36 | Tmax = 0.219397
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.002 | alpha = 1.01 | Tmax = 0.182585
 HL = 2.000 | t1//t0 = 120.000 | l1//l0 = 1.000 | alpha = 1.15 | Tmax = 0.488045
 HL = 0.200 | t1//t0 = 220.000 | l1//l0 = 0.500 | alpha = 1.06 | Tmax = 0.150732
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.42 | Tmax = 1.048465
 HL = 2.000 | t1//t0 = 90.000 | l1//l0 = 0.500 | alpha = 1.55 | Tmax = 0.318976
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.003 | alpha = 1.03 | Tmax = 0.176641
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.35 | Tmax = 0.258680
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.22 | Tmax = 0.120788
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.43 | Tmax = 1.006236
 HL = 22.000 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.53 | Tmax = 5.208290
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.070 | alpha = 1.17 | Tmax = 0.081927
 HL = 0.500 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.18 | Tmax = 0.124487
 HL = 0.200 | t1//t0 = 210.000 | l1//l0 = 0.500 | alpha = 1.26 | Tmax = 0.136384
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.010 | alpha = 1.19 | Tmax = 0.093314
 HL = 15.000 | t1//t0 = 10.000 | l1//l0 = 0.300 | alpha = 1.56 | Tmax = 2.734736
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.15 | Tmax = 0.169788
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.11 | Tmax = 0.420716
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.08 | Tmax = 0.159156
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.003 | alpha = 1.40 | Tmax = 0.199884
