HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = Inf
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.28 | Tmax = 0.432370
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.35 | Tmax = 0.137452
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.07 | Tmax = 0.291900
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.15 | Tmax = 0.124052
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.25 | Tmax = 0.167681
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.18 | Tmax = 0.061667
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.08 | Tmax = 0.278143
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.14 | Tmax = 0.153887
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.32 | Tmax = 0.071801
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.31 | Tmax = 0.483090
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.18 | Tmax = 0.093835
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.22 | Tmax = 0.183954
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.07 | Tmax = 0.252436
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 0.700 | alpha = 1.03 | Tmax = 0.062799
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.32 | Tmax = 0.175533
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.15 | Tmax = 0.238103
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.100 | alpha = 1.03 | Tmax = 0.063502
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.19 | Tmax = 0.313947
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.03 | Tmax = 0.180721
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.06 | Tmax = 0.148085
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.07 | Tmax = 0.075872
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.11 | Tmax = 0.063805
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.13 | Tmax = 0.218114
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.10 | Tmax = 0.278360
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.14 | Tmax = 0.233702
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.24 | Tmax = 0.126983
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.23 | Tmax = 0.402821
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.26 | Tmax = 0.088215
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.13 | Tmax = 0.085728
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.13 | Tmax = 0.063558
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.08 | Tmax = 0.249783
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.12 | Tmax = 0.127917
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.08 | Tmax = 0.061820
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.20 | Tmax = 0.133738
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.11 | Tmax = 0.278455
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.13 | Tmax = 0.063118
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.05 | Tmax = 0.219035
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.28 | Tmax = 0.338176
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.500 | alpha = 1.04 | Tmax = 0.090926
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.11 | Tmax = 0.502240
 HL = 0.200 | t1//t0 = 140.000 | l1//l0 = 1.000 | alpha = 1.42 | Tmax = Inf
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.10 | Tmax = 0.086606
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.10 | Tmax = 0.063486
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.07 | Tmax = 0.167859
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.070 | alpha = 1.07 | Tmax = 0.063601
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.050 | alpha = 1.18 | Tmax = 0.062817
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.41 | Tmax = 0.113036
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.500 | alpha = 1.09 | Tmax = 0.082160
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.073464
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.19 | Tmax = 0.063881
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.16 | Tmax = 0.098810
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.065036
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.35 | Tmax = 0.445288
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.12 | Tmax = 0.134607
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.18 | Tmax = 0.110463
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.115265
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.10 | Tmax = 0.140161
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.10 | Tmax = 0.071890
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.22 | Tmax = 0.068454
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.07 | Tmax = 0.129072
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.13 | Tmax = 0.158348
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.02 | Tmax = 0.191330
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.33 | Tmax = 0.459025
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.23 | Tmax = 0.125672
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.100 | alpha = 1.17 | Tmax = 0.063689
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.08 | Tmax = 0.061820
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.050 | alpha = 1.03 | Tmax = 0.063172
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.31 | Tmax = 0.487282
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.06 | Tmax = 0.081029
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.16 | Tmax = 0.206191
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.32 | Tmax = 0.120744
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.10 | Tmax = 0.063856
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.12 | Tmax = 0.149160
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.14 | Tmax = 0.127592
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.26 | Tmax = 0.179321
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.09 | Tmax = 0.134877
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.10 | Tmax = 0.086606
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.28 | Tmax = 0.115993
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.300 | alpha = 1.16 | Tmax = 0.063178
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.100 | alpha = 1.04 | Tmax = 0.062511
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.21 | Tmax = 0.134600
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.30 | Tmax = 0.348941
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.06 | Tmax = 0.124532
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.08 | Tmax = 0.132696
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.28 | Tmax = 0.123042
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.061697
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.17 | Tmax = 0.127645
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.26 | Tmax = 0.188893
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.100 | alpha = 1.04 | Tmax = 0.075813
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.09 | Tmax = 0.244835
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.05 | Tmax = 0.153784
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.21 | Tmax = 0.131145
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.10 | Tmax = 0.506177
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.15 | Tmax = 0.126002
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.500 | alpha = 1.10 | Tmax = 0.063361
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.21 | Tmax = 0.284203
 HL = 0.200 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.08 | Tmax = 0.062748
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.09 | Tmax = 0.135129
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.23 | Tmax = 0.127553
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.00 | Tmax = 0.270401
 HL = 30.000 | t1//t0 = 110.000 | l1//l0 = 0.070 | alpha = 1.30 | Tmax = Inf
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.22 | Tmax = 0.127200
 HL = 0.200 | t1//t0 = 100.000 | l1//l0 = 1.000 | alpha = 1.28 | Tmax = Inf
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.300 | alpha = 1.12 | Tmax = 0.062880
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.26 | Tmax = 0.151731
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.300 | alpha = 1.20 | Tmax = 0.062964
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.27 | Tmax = 0.120234
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.500 | alpha = 1.10 | Tmax = 0.080410
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.050 | alpha = 1.02 | Tmax = 0.063709
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.04 | Tmax = 0.130428
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.11 | Tmax = 0.127497
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.18 | Tmax = 0.305485
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.14 | Tmax = 0.150433
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.06 | Tmax = 0.209462
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.29 | Tmax = 0.120585
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.100 | alpha = 1.15 | Tmax = 0.062971
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.05 | Tmax = 0.244471
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.04 | Tmax = 0.147008
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.050 | alpha = 1.00 | Tmax = 0.064713
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.10 | Tmax = 0.153854
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.03 | Tmax = 0.132175
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.25 | Tmax = 0.182942
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.08 | Tmax = 0.292795
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.15 | Tmax = 0.129201
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.04 | Tmax = 0.125672
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.17 | Tmax = 0.226084
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.25 | Tmax = 0.063252
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.19 | Tmax = 0.124989
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.18 | Tmax = 0.147534
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.24 | Tmax = 0.134562
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.12 | Tmax = 0.147221
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.35 | Tmax = 0.064312
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.04 | Tmax = 0.146831
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.15 | Tmax = 0.092533
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.18 | Tmax = 0.191409
 HL = 0.200 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.11 | Tmax = 0.063762
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.31 | Tmax = 0.439701
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.15 | Tmax = 0.133836
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.050 | alpha = 1.05 | Tmax = 0.062359
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.500 | alpha = 1.17 | Tmax = 0.068867
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.20 | Tmax = 0.283362
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.06 | Tmax = 0.184677
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.13 | Tmax = 0.125414
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.16 | Tmax = 0.151946
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.04 | Tmax = 0.134369
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.29 | Tmax = 0.107036
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.15 | Tmax = 0.115083
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.07 | Tmax = 0.097794
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.19 | Tmax = 0.156081
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.11 | Tmax = 0.151460
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.04 | Tmax = 0.211953
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.03 | Tmax = 0.125005
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.31 | Tmax = 0.089359
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.24 | Tmax = 0.124546
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.19 | Tmax = 0.063225
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.22 | Tmax = 0.147982
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.24 | Tmax = 0.122018
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.06 | Tmax = 0.070511
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.24 | Tmax = 0.152847
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.27 | Tmax = 0.096176
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.22 | Tmax = 0.122896
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.08 | Tmax = 0.124068
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.08 | Tmax = 0.242414
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.04 | Tmax = 0.292637
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.242801
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.05 | Tmax = 0.149929
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.25 | Tmax = 0.077751
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.23 | Tmax = 0.062581
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.04 | Tmax = 0.125342
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.14 | Tmax = 0.209223
 HL = 0.200 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.18 | Tmax = 0.062784
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.22 | Tmax = 0.137283
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.18 | Tmax = 0.278150
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.06 | Tmax = 0.085432
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.13 | Tmax = 0.239128
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.24 | Tmax = 0.433242
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.31 | Tmax = 0.120500
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.31 | Tmax = 0.071514
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.16 | Tmax = 0.228680
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.13 | Tmax = 0.133764
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.003 | alpha = 1.10 | Tmax = 0.150642
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.55 | Tmax = 1.306778
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.005 | alpha = 1.22 | Tmax = 0.096074
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.06 | Tmax = 0.083870
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.030 | alpha = 1.09 | Tmax = 0.063152
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.40 | Tmax = 0.129673
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.05 | Tmax = 0.133326
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.16 | Tmax = 0.152944
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.01 | Tmax = 0.142531
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.17 | Tmax = 0.244878
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.31 | Tmax = 0.483089
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.00 | Tmax = 0.144634
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.17 | Tmax = 0.193148
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.35 | Tmax = 0.263818
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.17 | Tmax = 0.124385
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.05 | Tmax = 0.061174
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.22 | Tmax = 0.134580
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.050 | alpha = 1.11 | Tmax = 0.062508
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.050 | alpha = 1.13 | Tmax = 0.064816
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.24 | Tmax = 0.122781
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.08 | Tmax = 0.064299
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.050 | alpha = 1.01 | Tmax = 0.077198
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.20 | Tmax = 0.063433
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.04 | Tmax = 0.342639
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.04 | Tmax = 0.200338
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.06 | Tmax = 0.520281
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.21 | Tmax = 0.119519
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.09 | Tmax = 0.247851
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.03 | Tmax = 0.074350
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.12 | Tmax = 0.150517
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.03 | Tmax = 0.145967
